JobName,CompanyName,WorkingArea,Salary
高级人工智能数据分析师,中山华定科技有限公司,中山,1.5-3万/月
科学老师（人工智能方向）,广州市增城区广东外语外贸大学附设实验学校,广州-增城区,0.8-1.5万/月
工业人工智能解决方案工程师,台达电子企业管理（上海）有限公司,北京,25-45万/年
集团法务线-法务专家（人工智能/自动驾驶）-杭州,阿里巴巴集团,杭州,
高级课程经理（人工智能方向）,广东沃土教育科技有限公司,广州-番禺区,1-1.5万/月
人工智能产品工程师,陕西汉来达智能装备科技有限公司,西安-新城区,6-8千/月
人工智能产品经理,字节跳动,北京,2-3万/月
高级会计师-同济人工智能,苏州高铁新城人力资源管理有限公司,苏州-相城区,1-1.5万/月
人工智能算法工程师,长威信息科技发展股份有限公司,福州,1.3-2.6万/月
少儿编程老师（人工智能创造力教育机构）,广州英荔教育科技有限公司,广州-天河区,0.5-1万/月
国企人工智能博士,中智河南经济技术合作有限公司,郑州-郑东新区,2-2.5万/月
人工智能算法工程师,深圳市财富趋势科技股份有限公司,武汉-洪山区,2.5-5万/月
人工智能项目主管,恩梯梯数据（中国）信息技术有限公司,北京-朝阳区,4-5万/月
人工智能算法工程师,深圳市财富趋势科技股份有限公司武汉研发中心,武汉,2.5-5万/月
软件工程师(人工智能),杭州慧景科技股份有限公司,杭州-拱墅区,1.5-2万/月
生物大数据应用中心-人工智能专家,华智生物技术有限公司,长沙-芙蓉区,1.5-2万/月
人工智能算法研发工程师,安徽心之声医疗科技有限公司,合肥-高新区,1.5-3万/月
销售经理（人工智能/智慧+行业区域销售经理）,上海海量电子有限公司,上海-松江区,1-1.5万/月
5K+人工智能检测助理（包住）,深圳市奉泰电子科技有限公司,深圳-龙华区,5.5-7.5千/月
人工智能软件架构师,太初（无锡）电子科技有限公司,无锡-滨湖区,20-40万/年
人工智能算法工程师,深圳中科图灵科技有限公司,深圳-南山区,1.5-4万/月
产品专员（互联网人工智能）,广州庚亿信息科技有限公司,佛山-南海区,6-8千/月
人工智能,广州丝路互娱科技有限公司,广州-天河区,5-8千/月
人工智能工程师（AI）,苏州诚联帮众信息技术有限公司,苏州-工业园区,1-1.5万/月
嵌入式软件开发工程师（人工智能与机器人教育研究）,浙江大学湖州研究院,湖州-吴兴区,6-8千/月
大客户代表/新零售/人工智能/西安,上海悠络客电子科技股份有限公司,西安-高新技术产业开发区,0.8-1.5万/月
研究员（人工智能）,广东海启星海洋科技有限公司,广州-番禺区,1.5-2.5万/月
营销策划专员（SAAS、人工智能）,深圳市赛瑞产业研究有限公司,深圳-南山区,0.7-1.1万/月
AI人工智能算法工程师,广东西尼科技有限公司,东莞-长安镇,6-8千/月
人工智能解决方案工程师,骏玖电子科技（上海）有限公司,上海-长宁区,10-15万/年
人工智能工程师(J10590),珠海金智维信息科技有限公司,珠海,0.7-1.5万/月
人工智能算法工程师,上海透景生命科技股份有限公司,上海-浦东新区,1.5-2万/月
人工智能硬件工程师,拓扑联创（北京）科技有限公司,深圳-龙华区,0.8-1.5万/月
人工智能系统架构师(专家）,西安三星电子研究所,西安-高新技术产业开发区,30-70万/年
应用人工智能的5G关键技术研究,北京三星通信技术研究有限公司,北京-朝阳区,1.5-2.5万/月
人工智能算法工程师,江苏迪达科技有限公司,淮安,1-1.5万/月
包住/人工智能技术助理,西安思源科创轨道交通技术开发有限公司,深圳-福田区,4.3-7.8千/月
产品经理（人工智能）,深圳市比一比网络科技有限公司,深圳-南山区,1.5-3万/月
人工智能和量子技术研究人员,世融能量科技有限公司,北京-东城区,1.5-3万/月
售前工程师（人工智能软件产品）,重庆盛海科技发展有限公司,重庆-南岸区,0.4-1万/月
人工智能算法研究员,深圳艾文哲思科技有限公司,深圳-南山区,3-6万/月
软件开发工程师（人工智能/后端开发）,苏州纳米大健康研究院有限公司,苏州-工业园区,1-1.5万/月
人工智能科学家（博士 AI智能、NLP方向）,深圳天源迪科信息技术股份有限公司,深圳-南山区,30-50万/年
人工智能深度学习程序员,和卓生物科技（上海）有限公司,上海-奉贤区,1-1.8万/月
工程数据算法工程师（人工智能方向）,武汉盛华伟业科技股份有限公司,武汉-洪山区,2.5-4万/月
人工智能产品研发高级软件工程师,硕能（上海）自动化科技有限公司,上海-黄浦区,1.5-2万/月
人工智能开发工程师,上海数久信息科技有限公司,上海-静安区,6-8千/月
店小蜜训练师（人工智能训练师）,宁波猫头鹰母婴用品有限公司,上海-虹口区,1-1.5万/月
自然语言算法工程师（AI人工智能）,上海美能华智能科技有限公司,苏州-工业园区,2-4万/月
人工智能软件销售,广州市羽阳信息科技有限公司,广州-越秀区,1-1.5万/月
人工智能算法工程师（新密五险包食宿）,郑州国润科技有限公司,郑州,1.5-3万/月
Python人工智能讲师,北京金信润天信息技术股份有限公司武汉分公司,武汉-洪山区,12-18万/年
人工智能工程师,中科天工（武汉）智能技术有限公司,武汉-江夏区,1.2-2万/月
包住人工智能（AI）销售专员（余杭仓前包住）,杭州东田科技有限公司,杭州-余杭区,0.8-1万/月
系统研发工程师（人工智能部）,青岛本原微电子有限公司,北京-海淀区,1.5-2.5万/月
能源/工业人工智能科学家,清华四川能源互联网研究院,成都-天府新区,40-50万/年
高级人工智能数据分析师(华定科技),中山快享成贸易有限公司,中山-西区,1.5-3万/月
人工智能/机器学习工程师,中山联合光电科技股份有限公司,武汉-东湖新技术产业开发区,1.5-2.5万/月
人工智能算法工程师（硕士及以上）,扬州万方电子技术有限责任公司,扬州,1.9-3.2万/月
人工智能科学家,广东天机智能系统有限公司,上海-闵行区,3-4万/月
人工智能 图像处理工程师 可实习,青岛嘉淼网络科技有限公司,青岛-市南区,0.5-1万/月
计算机应用技术（人工智能）专业教师,上海中侨职业技术大学,上海,7-8千/月
人工智能（大数据应用）工程师,中国恩菲工程技术有限公司,北京-海淀区,1.2-2.2万/月
技术架构师（人工智能）,朗坤智慧科技股份有限公司,南京-江宁区,2.5-3.5万/月
人工智能工程师,卓谨信息科技（常州）有限公司,常州,1.5-2.5万/月
人工智能研发工程师,北京宝捷拿科技发展有限公司,西安-雁塔区,2-2.5万/月
TEG09-人工智能建模仿真架构师(深圳/北京）,深圳市腾讯计算机系统有限公司,深圳,
人工智能数据标注员,广州朝晖网络科技有限公司,信阳,3-6千/月
人工智能教师（有免费考编辅导）,江苏熙枫教育科技有限公司,常州-钟楼区,6-8千/月
人工智能工程师,北京众智创科信息技术有限公司,青岛-即墨区,4.5-6千/月
人工智能教师,上海优必杰教育科技有限公司,上海-嘉定区,6-8千/月
人工智能软件开发工程师,沈阳贝斯特科技有限公司,沈阳-沈河区,1-1.5万/月
人工智能工程师,苏州市科造智能科技有限公司,苏州-工业园区,1.5-2.5万/月
人工智能运营总监,成都云图睿视科技有限公司,成都-郫都区,20-30万/年
人工智能工程师,上海达华测绘有限公司,上海-浦东新区,35-50万/年
人工智能工程师（算法工程师）,湖南雅言翻译服务有限公司,深圳-南山区,1-1.5万/月
人工智能开发(大数据),青岛酷特智能股份有限公司,青岛-即墨区,1.5-2万/月
高级人工智能研发工程师,江苏鸿程大数据技术与应用研究院有限公司,南京-浦口区,1.3-2.6万/月
人工智能/自动化控制,上海升华医药科技有限公司,泸州,0.4-2万/月
人工智能算法开发专家-南京-G00260,沐曦集成电路（上海）有限公司,南京-雨花台区,2.4-4万/月
人工智能训练师,安徽帝派智能科技有限公司,合肥-高新区,4-8千/月
软件工程师（频谱感知人工智能方向）,天津先进技术研究院,天津,0.7-1.5万/月
环控人工智能研究中心,北京大北农科技集团股份有限公司,北京-大兴区,20-30万/年
BD商务拓展（人工智能）,锦江区蝶凌科技服务部,成都,0.8-1万/月
